# Item,Value
Food_Ameriska_pica,0.0
Food_Banana,0.0
Food_Brokoli,0.0
Food_Cokolada,0.0
Food_Fizol,0.0
Food_Govedina,0.0
Food_Grozdje,0.0
Food_Jabolko,0.0
Food_Jagode,0.0
Food_Jajce,0.0
Food_Kakav,0.0
Food_Kokice,0.0
Food_Korenje,0.0
Food_Krompir,0.0
Food_Kruh_bel,0.0
Food_Kruh_polnozrnat,0.0
Food_Kumara,0.0
Food_Losos,0.0
Food_Makaroni,0.0
Food_Marmelada,0.0
Food_Maslo,0.0
Food_Med,0.0
Food_Mleko,6.9891127
Food_Mortadela,0.0
Food_Nutella,0.0
Food_Olivno_olje,0.24509638
Food_Ovseni_kosmici,3.7337287
Food_Paprika,0.0
Food_Paradiznik,0.0
Food_Piscanec,0.0
Food_Pivo,0.0
Food_Pomaranca,0.0
Food_Pomfri,0.0
Food_Postrv,0.0
Food_Puran,0.0
Food_Radenska,0.0
Food_Rdeca_pesa,0.0
Food_Riz,0.0
Food_Sir_edamec,0.0
Food_Skusa_soljena,0.0
Food_Sol,0.34849218
Food_Solata,0.0
Food_Strocji_fizol,0.0
Food_Svinjina,0.0
Food_Torta,0.0
Food_Tuna,0.0
Food_Vino_cabernet,0.0
Food_Vino_traminec,15.173297
Food_Zelje,0.0
